region_name,region_code,reporting_year,reporting_pop,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,pop_in_poverty,spr,pg,estimate_type
Latin America & Caribbean,LAC,1994,468862052,3,0.20108379334918527,0.08375120752780062,0.049075994698360104,0.1412172835687577,12.623059985983206,94280560,0.34871131989761367,7.785102258781903,actual
Latin America & Caribbean,LAC,1995,476796636,3,0.1910720860868844,0.07814189820428748,0.04520796733877968,0.1307597041604197,13.117058842086767,91102528,0.3442966266900742,7.519271094118687,actual
Latin America & Caribbean,LAC,1996,484667880,3,0.20508724315011068,0.08696374791656343,0.05182084260677436,0.1485588610057665,12.952345763838897,99399199,0.3520985613133653,8.084501533562753,actual
Latin America & Caribbean,LAC,1997,492482495,3,0.20044403931736213,0.08558709950316339,0.050902185236619484,0.14551838548517135,13.258960988029022,98715181,0.3519356901947324,7.901110807074436,actual
Latin America & Caribbean,LAC,1998,500308570,3,0.19775763825239848,0.08457200447933858,0.05031326434060972,0.14379161247838892,13.528425472793145,98939841,0.34880332970293654,7.830459728650502,actual
Latin America & Caribbean,LAC,1999,508063703,3,0.20063678803136262,0.08604336398519352,0.05132347923725884,0.14698019626618208,13.076648278371032,101936269,0.35110540838158405,7.994837152097509,actual
Latin America & Caribbean,LAC,2000,515590262,3,0.18633802771694905,0.07941606259121872,0.04766632277705438,0.13683499308726219,13.727281755311958,96074073,0.345159240954055,7.65818423312675,actual
Latin America & Caribbean,LAC,2001,522877879,3,0.18392690657805622,0.07686377796843051,0.045183752720767904,0.12913696384281903,13.778010801616354,96171311,0.343555657925681,7.299802629850633,actual
Latin America & Caribbean,LAC,2002,529982351,3,0.17527359289338995,0.06972571698495116,0.03929006925476253,0.11309638523719871,13.615805933664726,92891911,0.34184487018887966,6.792012725121074,actual
Latin America & Caribbean,LAC,2003,536918721,3,0.1704749653791088,0.06790247325021753,0.03852425770376114,0.11084280006195907,13.70319971505734,91531200,0.33675306667872007,6.7164795399252,actual
Latin America & Caribbean,LAC,2004,543716438,3,0.1571610679194228,0.06163567765730575,0.03458372412048397,0.09977543255101572,13.97482652112658,85451056,0.3301082977026836,6.3492725830675925,actual
